gene_gencodeV33	FDR_TADA_ASD	FDR_TADA_DD	FDR_TADA_NDD	p_TADA_ASD	p_TADA_DD	p_TADA_NDD
ARHGAP19	0.901057711	0.892625482	0.861579658	0.787226013	0.613089227	0.782193361
GGT5	0.901061102	0.892640603	0.861585767	0.787283535	0.613261239	0.782252952
HTR1F	0.901064493	0.892665787	0.861591875	0.787341057	0.613547924	0.782312544
CYP2W1	0.901067884	0.892675854	0.861597982	0.787398579	0.613662598	0.782372135
MRPL38	0.901071275	0.892680887	0.861604089	0.787456101	0.613719935	0.782431727
PTGIS	0.901074664	0.892716089	0.861610194	0.787513623	0.614121295	0.782491318
ALDOB	0.901078054	0.892731162	0.861616299	0.787571145	0.614293307	0.78255091
CLEC12B	0.901081443	0.892741207	0.861622403	0.787628667	0.614407981	0.782610501
MIPOL1	0.901084831	0.892766303	0.861628506	0.787686189	0.614694666	0.782670092
ZNF677	0.901088219	0.892776335	0.861634608	0.787743711	0.61480934	0.782729684
P2RX6	0.901091606	0.892786364	0.861640709	0.787801233	0.614924015	0.782789275
KRT34	0.901094993	0.892816429	0.86164681	0.787858755	0.615268037	0.782848867
SMIM20	0.90109838	0.892821436	0.861652909	0.787916277	0.615325374	0.782908458
CCDC83	0.901101766	0.892831449	0.861659008	0.787973799	0.615440049	0.78296805
CDC20B	0.901105152	0.892836454	0.861665106	0.788031321	0.615497386	0.783027641
MAL2	0.901108537	0.892841459	0.861671203	0.788088843	0.615554723	0.783087232
COLQ	0.901111921	0.892866467	0.861677299	0.788146365	0.615841408	0.783146824
GPR149	0.901115306	0.892871466	0.861683395	0.788203887	0.615898745	0.783206415
NTAN1	0.901118689	0.892911426	0.861689489	0.788261409	0.616357442	0.783266007
CENPM	0.901122073	0.892931386	0.861695583	0.788318931	0.616586791	0.783325598
LINC00692	0.901125455	0.892936373	0.861701676	0.788376453	0.616644128	0.783385189
H1-5	0.901128838	0.89294136	0.861707768	0.788433975	0.616701465	0.783444781
TGIF2	0.90113222	0.892946346	0.861713859	0.788491497	0.616758802	0.783504372
KIAA0753	0.901135601	0.892966281	0.86171995	0.788549019	0.61698815	0.783563964
STX2	0.901138982	0.892976243	0.861726039	0.788606541	0.617102825	0.783623555
FAM92A	0.901142362	0.892981223	0.861732128	0.788664063	0.617160162	0.783683147
DAP3	0.901145742	0.893006109	0.861738216	0.788721585	0.617446847	0.783742738
FBXL6	0.901149122	0.893011083	0.861744303	0.788779108	0.617504184	0.783802329
ODF3B	0.901152501	0.893016057	0.861750389	0.78883663	0.617561521	0.783861921
TXLNB	0.901155879	0.893026002	0.861756474	0.788894152	0.617676196	0.783921512
ZFP69	0.901159258	0.893030973	0.861762559	0.788951674	0.617733533	0.783981104
MYOM3	0.901162635	0.893035943	0.861768642	0.789009196	0.61779087	0.784040695
GLDC	0.901166012	0.893070711	0.861774725	0.789066718	0.61819223	0.784100286
CPNE1	0.901169389	0.893085598	0.861780807	0.78912424	0.618364241	0.784159878
TDP1	0.901172765	0.893100478	0.861786888	0.789181762	0.618536252	0.784219469
RMND1	0.901176141	0.893105436	0.861792969	0.789239284	0.618593589	0.784279061
ZNF438	0.901179516	0.89312526	0.861799048	0.789296806	0.618822938	0.784338652
GPR180	0.901182891	0.893135167	0.861805127	0.789354328	0.618937612	0.784398244
CYP4X1	0.901186266	0.893140119	0.861811205	0.78941185	0.618994949	0.784457835
AL117348.2	0.90118964	0.89315497	0.861817282	0.789469372	0.61916696	0.784517426
AARSD1	0.901193013	0.893194535	0.861823358	0.789526894	0.619625657	0.784577018
REC114	0.901196386	0.893214297	0.861829433	0.789584416	0.619855006	0.784636609
AMBN	0.901199758	0.89323898	0.861835507	0.789641938	0.620141691	0.784696201
C2orf74	0.901203131	0.893243914	0.861841581	0.78969946	0.620199028	0.784755792
SNRNP25	0.901206502	0.893253779	0.861847654	0.789756982	0.620313702	0.784815384
C19orf44	0.901209873	0.893288281	0.861853726	0.789814504	0.620715062	0.784874975
WDR41	0.901213244	0.893293207	0.861859797	0.789872026	0.620772399	0.784934566
SSC5D	0.901216614	0.893307978	0.861865867	0.789929548	0.62094441	0.784994158
RPP30	0.901219984	0.893317821	0.861871937	0.78998707	0.621059085	0.785053749
LY9	0.901223353	0.893327661	0.861878005	0.790044592	0.621173759	0.785113341
CRISP3	0.901226722	0.893352246	0.861884073	0.790102114	0.621460444	0.785172932
CFAP57	0.90123009	0.893362073	0.86189014	0.790159636	0.621575119	0.785232523
LRRC70	0.901233458	0.893376809	0.861896206	0.790217158	0.62174713	0.785292115
HS3ST1	0.901236825	0.893401351	0.861902271	0.79027468	0.622033815	0.785351706
KRBA1	0.901240192	0.893420969	0.861908336	0.790332202	0.622263164	0.785411298
CMBL	0.901243559	0.893425871	0.861914399	0.790389724	0.622320501	0.785470889
TTC1	0.901246925	0.893430773	0.861920462	0.790447246	0.622377838	0.785530481
SLC4A9	0.90125029	0.893450371	0.861926524	0.790504768	0.622607186	0.785590072
TIMP4	0.901253655	0.893460165	0.861932585	0.79056229	0.622721861	0.785649663
IL10RB	0.90125702	0.893504195	0.861938645	0.790619812	0.623237895	0.785709255
MAPKAPK3	0.901260384	0.893518857	0.861944705	0.790677334	0.623409906	0.785768846
ACMSD	0.901263748	0.893528627	0.861950763	0.790734857	0.62352458	0.785828438
MORN1	0.901267111	0.893543276	0.861956821	0.790792379	0.623696591	0.785888029
TTC19	0.901270474	0.893548157	0.861962878	0.790849901	0.623753929	0.78594762
ROS1	0.901273836	0.893557917	0.861968934	0.790907423	0.623868603	0.786007212
SERPINE3	0.901277198	0.893567673	0.861974989	0.790964945	0.623983277	0.786066803
FAM229B	0.901280559	0.893582302	0.861981043	0.791022467	0.624155288	0.786126395
ZNF177	0.90128392	0.893601795	0.861987097	0.791079989	0.624384637	0.786185986
VWDE	0.90128728	0.893606666	0.86199315	0.791137511	0.624441974	0.786245578
FAN1	0.90129064	0.675184448	0.780425768	0.791195033	0.0967013	0.367060087
PANX1	0.901294	0.893616406	0.861999202	0.791252555	0.624556648	0.786305169
FREM1	0.901297359	0.893621275	0.862005253	0.791310077	0.624613985	0.78636476
ADGRE1	0.901300718	0.893626142	0.862011303	0.791367599	0.624671322	0.786424352
TMBIM1	0.901304076	0.893631009	0.862017352	0.791425121	0.624728659	0.786483943
AC092073.1	0.901307433	0.893635876	0.862023401	0.791482643	0.624785996	0.786543535
SERTAD1	0.90131079	0.893640741	0.862029449	0.791540165	0.624843333	0.786603126
UPP1	0.901314147	0.893660193	0.862035496	0.791597687	0.625072682	0.786662718
GSTA3	0.901317503	0.89368449	0.862041542	0.791655209	0.625359367	0.786722309
KCTD8	0.901320859	0.893689347	0.862047587	0.791712731	0.625416705	0.7867819
RBM43	0.901324215	0.893703913	0.862053631	0.791770253	0.625588716	0.786841492
BICDL2	0.901327569	0.893766944	0.862059675	0.791827775	0.626334098	0.786901083
PDE6A	0.901330924	0.893786309	0.862065718	0.791885297	0.626563447	0.786960675
GLB1L2	0.901334278	0.893800825	0.86207176	0.791942819	0.626735458	0.787020266
MRPL55	0.901337631	0.893810498	0.862077801	0.792000341	0.626850132	0.787079857
PPP5D1	0.901340984	0.893829833	0.862083841	0.792057863	0.627079481	0.787139449
PP2D1	0.901344337	0.893858812	0.862089881	0.792115385	0.627423503	0.78719904
GAS2L3	0.901347689	0.893868465	0.862095919	0.792172907	0.627538177	0.787258632
CCDC65	0.901351041	0.89387329	0.862101957	0.792230429	0.627595514	0.787318223
UMODL1	0.901354392	0.893887761	0.862107994	0.792287951	0.627767526	0.787377815
KIAA1586	0.901357742	0.893902224	0.86211403	0.792345473	0.627939537	0.787437406
FCRL2	0.901361093	0.893907043	0.862120065	0.792402995	0.627996874	0.787496997
PDCD7	0.901364443	0.893921496	0.8621261	0.792460517	0.628168885	0.787556589
RAMP1	0.901367792	0.893926312	0.862132133	0.792518039	0.628226223	0.78761618
LEKR1	0.901371141	0.893931128	0.862138166	0.792575561	0.62828356	0.787675772
CYP3A4	0.901374489	0.893935942	0.862144198	0.792633084	0.628340897	0.787735363
CCT6B	0.901377837	0.893960002	0.862150229	0.792690606	0.628627582	0.787794955
SIRPB2	0.901381185	0.893984041	0.86215626	0.792748128	0.628914268	0.787854546
MRPS7	0.901384532	0.893993651	0.862162289	0.79280565	0.629028942	0.787914137
NANOGNB	0.901387878	0.894041651	0.862168318	0.792863172	0.629602313	0.787973729
GPAT2	0.901391224	0.894046446	0.862174346	0.792920694	0.62965965	0.78803332
CABCOCO1	0.90139457	0.894060828	0.862180373	0.792978216	0.629831661	0.788092912
ATRAID	0.901397915	0.894070411	0.862186399	0.793035738	0.629946336	0.788152503
ZNF584	0.90140126	0.894075202	0.862192424	0.79309326	0.630003673	0.788212094
CCDC150	0.901404604	0.894079992	0.862198449	0.793150782	0.63006101	0.788271686
GSDME	0.901407948	0.89408478	0.862204472	0.793208304	0.630118347	0.788331277
RGP1	0.901411291	0.894089569	0.862210495	0.793265826	0.630175684	0.788390869
HPF1	0.901414634	0.894103928	0.862216517	0.793323348	0.630347695	0.78845046
SHD	0.901417976	0.894108713	0.862222539	0.79338087	0.630405033	0.788510052
KRTAP16-1	0.901421318	0.894113497	0.862228559	0.793438392	0.63046237	0.788569643
TRUB1	0.90142466	0.89411828	0.862234579	0.793495914	0.630519707	0.788629234
GYS2	0.901428001	0.894123062	0.862240597	0.793553436	0.630577044	0.788688826
UROD	0.901431341	0.894127844	0.862246615	0.793610958	0.630634381	0.788748417
LYPD6B	0.901434682	0.894151739	0.862252632	0.79366848	0.630921066	0.788808009
MFSD4B	0.901438021	0.894166067	0.862258649	0.793726002	0.631093078	0.7888676
ECM1	0.90144136	0.894170841	0.862264664	0.793783524	0.631150415	0.788927191
AKR1D1	0.901444699	0.894185158	0.862270679	0.793841046	0.631322426	0.788986783
MSRB1	0.901448037	0.894194699	0.862276693	0.793898568	0.6314371	0.789046374
ABCB5	0.901451375	0.894209005	0.862282706	0.79395609	0.631609112	0.789105966
EPHX1	0.901454713	0.894218538	0.862288718	0.794013612	0.631723786	0.789165557
LDLR	0.90145805	0.894251877	0.862294729	0.794071134	0.632125146	0.789225149
TMEM229B	0.901461386	0.894280422	0.862300739	0.794128656	0.632469168	0.78928474
LCN15	0.901464722	0.89428993	0.862306749	0.794186178	0.632583842	0.789344331
CABYR	0.901468058	0.894294683	0.862312758	0.7942437	0.63264118	0.789403923
TKFC	0.901471393	0.894304187	0.862318766	0.794301222	0.632755854	0.789463514
ANKUB1	0.901474727	0.894308937	0.862324773	0.794358744	0.632813191	0.789523106
NPIPB11	0.901478061	0.894318436	0.86233078	0.794416266	0.632927865	0.789582697
DYNC2LI1	0.901481395	0.894327932	0.862336785	0.794473788	0.633042539	0.789642289
MEFV	0.901484728	0.894337424	0.86234279	0.79453131	0.633157213	0.78970188
TRIM16	0.901488061	0.894342169	0.862348794	0.794588833	0.633214551	0.789761471
TEX261	0.901491393	0.894346913	0.862354797	0.794646355	0.633271888	0.789821063
Z83844.1	0.901494725	0.894351656	0.862360799	0.794703877	0.633329225	0.789880654
SETMAR	0.901498057	0.894375361	0.862366801	0.794761399	0.63361591	0.789940246
TSTA3	0.901501388	0.894384837	0.862372801	0.794818921	0.633730585	0.789999837
ECH1	0.901504718	0.894394309	0.862378801	0.794876443	0.633845259	0.790059428
MEGF11	0.901508048	0.894399045	0.8623848	0.794933965	0.633902596	0.79011902
SDC4	0.901511378	0.894432169	0.862390798	0.794991487	0.634303956	0.790178611
MINDY4	0.901514707	0.894436897	0.862396796	0.795049009	0.634361293	0.790238203
TMEM175	0.901518036	0.894441625	0.862402792	0.795106531	0.63441863	0.790297794
ZNF891	0.901521364	0.894446353	0.862408788	0.795164053	0.634475967	0.790357386
TTLL10	0.901524691	0.894469976	0.862414783	0.795221575	0.634762652	0.790416977
OR2W1	0.901528019	0.894488861	0.862420777	0.795279097	0.634992001	0.790476568
FCSK	0.901531346	0.89449358	0.86242677	0.795336619	0.635049338	0.79053616
SLC5A4	0.901534672	0.894503016	0.862432762	0.795394141	0.635164012	0.790595751
APOL5	0.901537998	0.894507733	0.862438754	0.795451663	0.635221349	0.790655343
NCF1	0.901541323	0.894512449	0.862444745	0.795509185	0.635278686	0.790714934
SPINK1	0.901544648	0.894521878	0.862450735	0.795566707	0.63539336	0.790774525
AC007040.2	0.901547973	0.894526591	0.862456724	0.795624229	0.635450698	0.790834117
ZBTB25	0.901551297	0.894531304	0.862462712	0.795681751	0.635508035	0.790893708
SLC47A2	0.901554621	0.894545438	0.8624687	0.795739273	0.635680046	0.7909533
UGT1A4	0.901557944	0.894564271	0.862474686	0.795796795	0.635909394	0.791012891
GLT8D1	0.901561267	0.894583091	0.862480672	0.795854317	0.636138743	0.791072483
CXCL11	0.901564589	0.894592497	0.862486657	0.795911839	0.636253417	0.791132074
TFEC	0.901567911	0.894601899	0.862492642	0.795969361	0.636368091	0.791191665
PADI4	0.901571232	0.894625391	0.862498625	0.796026883	0.636654777	0.791251257
TMEM30CP	0.901574553	0.894630087	0.862504608	0.796084405	0.636712114	0.791310848
PVRIG	0.901577873	0.894634782	0.862510589	0.796141927	0.636769451	0.79137044
KRT28	0.901581193	0.89464417	0.86251657	0.796199449	0.636884125	0.791430031
RIC3	0.901584513	0.894653554	0.86252255	0.796256971	0.636998799	0.791489623
COMMD3	0.901587832	0.894658246	0.86252853	0.796314493	0.637056136	0.791549214
PIK3C2G	0.901591151	0.894667626	0.862534508	0.796372015	0.637170811	0.791608805
PINK1	0.901594469	0.894677002	0.862540486	0.796429537	0.637285485	0.791668397
OVOL3	0.901597787	0.894719159	0.862546463	0.796487059	0.637801519	0.791727988
PNKD	0.901601104	0.894723839	0.862552439	0.796544582	0.637858856	0.79178758
LMOD3	0.901604421	0.894728518	0.862558414	0.796602104	0.637916193	0.791847171
WFIKKN1	0.901607737	0.894742551	0.862564389	0.796659626	0.638088204	0.791906762
NOX4	0.901611053	0.894756577	0.862570362	0.796717148	0.638260216	0.791966354
IL17RB	0.901614368	0.894761251	0.862576335	0.79677467	0.638317553	0.792025945
CENPH	0.901617683	0.894770596	0.862582307	0.796832192	0.638432227	0.792085537
AC004223.3	0.901620998	0.894775267	0.862588278	0.796889714	0.638489564	0.792145128
AC245748.1	0.901624312	0.894784607	0.862594248	0.796947236	0.638604238	0.79220472
CFAP206	0.901627626	0.894789276	0.862600218	0.797004758	0.638661575	0.792264311
FAM177A1	0.901630939	0.894798612	0.862606187	0.79706228	0.63877625	0.792323902
FAM81B	0.901634251	0.894812609	0.862612155	0.797119802	0.638948261	0.792383494
RNF212B	0.901637564	0.894854559	0.862618122	0.797177324	0.639464295	0.792443085
AC009126.1	0.901640876	0.894863873	0.862624088	0.797234846	0.639578969	0.792502677
TMA16	0.901644187	0.894873183	0.862630053	0.797292368	0.639693643	0.792562268
ANO6	0.901647498	0.894887143	0.862636018	0.79734989	0.639865655	0.79262186
PCDHGB2	0.901650808	0.894891795	0.862641982	0.797407412	0.639922992	0.792681451
CFAP300	0.901654118	0.894896445	0.862647945	0.797464934	0.639980329	0.792741042
HTR3A	0.901657428	0.517656951	0.603210476	0.797522456	0.045396232	0.128838636
COX7C	0.901660737	0.894901096	0.862653907	0.797579978	0.640037666	0.792800634
HAAO	0.901664046	0.894905745	0.862659868	0.7976375	0.640095003	0.792860225
PAPLN	0.901667354	0.894910393	0.862665829	0.797695022	0.64015234	0.792919817
SKA3	0.901670661	0.894919688	0.862671789	0.797752544	0.640267014	0.792979408
STOM	0.901673969	0.894924334	0.862677748	0.797810066	0.640324351	0.793038999
SAMD12	0.901677276	0.89492898	0.862683706	0.797867588	0.640381688	0.793098591
SLC2A9	0.901680582	0.894933624	0.862689663	0.79792511	0.640439026	0.793158182
CCDC9B	0.901683888	0.894938268	0.862695619	0.797982632	0.640496363	0.793217774
PPP1R36	0.901687193	0.894947553	0.862701575	0.798040154	0.640611037	0.793277365
ZFYVE19	0.901690498	0.89497539	0.86270753	0.798097676	0.64095506	0.793336957
CDCA5	0.901693803	0.894984663	0.862713484	0.798155198	0.641069734	0.793396548
DMP1	0.901697107	0.894989298	0.862719437	0.79821272	0.641127071	0.793456139
CCER2	0.901700411	0.895012463	0.86272539	0.798270242	0.641413756	0.793515731
PRG3	0.901703714	0.895021723	0.862731341	0.798327764	0.641528431	0.793575322
STPG4	0.901707017	0.895026352	0.862737292	0.798385286	0.641585768	0.793634914
SCRN3	0.901710319	0.89503098	0.862743242	0.798442808	0.641643105	0.793694505
SCTR	0.901713621	0.895049485	0.862749191	0.798500331	0.641872453	0.793754096
TSEN2	0.901716922	0.895058733	0.86275514	0.798557853	0.641987127	0.793813688
SNAI3	0.901720223	0.895077219	0.862761087	0.798615375	0.642216476	0.793873279
AC005324.3	0.901723524	0.895081839	0.862767034	0.798672897	0.642273813	0.793932871
KRT84	0.901726824	0.895095693	0.86277298	0.798730419	0.642445824	0.793992462
ZNF786	0.901730123	0.895118768	0.862778925	0.798787941	0.64273251	0.794052054
TATDN3	0.901733423	0.895123381	0.86278487	0.798845463	0.642789847	0.794111645
CSNK1A1L	0.901736721	0.895132604	0.862790813	0.798902985	0.642904521	0.794171236
CSH2	0.901740019	0.89515104	0.862796756	0.798960507	0.643133869	0.794230828
TRPV3	0.901743317	0.895155647	0.862802698	0.799018029	0.643191207	0.794290419
ESD	0.901746615	0.895160254	0.862808639	0.799075551	0.643248544	0.794350011
TTC16	0.901749912	0.895174069	0.862814579	0.799133073	0.643420555	0.794409602
ZNF432	0.901753208	0.895183274	0.862820518	0.799190595	0.643535229	0.794469194
TSR3	0.901756504	0.895187876	0.862826457	0.799248117	0.643592566	0.794528785
NBPF1	0.9017598	0.895192477	0.862832395	0.799305639	0.643649903	0.794588376
CIB1	0.901763095	0.895210874	0.862838332	0.799363161	0.643879252	0.794647968
PTCD1	0.901766389	0.895229258	0.862844268	0.799420683	0.6441086	0.794707559
CHRNA3	0.901769683	0.895238445	0.862850204	0.799478205	0.644223274	0.794767151
MCRIP1	0.901772977	0.895256811	0.862856138	0.799535727	0.644452623	0.794826742
PLK5	0.90177627	0.895270577	0.862862072	0.799593249	0.644624634	0.794886333
GCKR	0.901779563	0.895275164	0.862868005	0.799650771	0.644681971	0.794945925
SH2D1B	0.901782856	0.89527975	0.862873937	0.799708293	0.644739308	0.795005516
IQCF1	0.901786148	0.895288921	0.862879869	0.799765815	0.644853983	0.795065108
ZNF195	0.901789439	0.895293505	0.862885799	0.799823337	0.64491132	0.795124699
VWA8	0.90179273	0.895316414	0.862891729	0.799880859	0.645198005	0.795184291
CWF19L1	0.901796021	0.895320993	0.862897658	0.799938381	0.645255342	0.795243882
ADAMTSL5	0.901799311	0.895334727	0.862903586	0.799995903	0.645427354	0.795303473
CAPN11	0.901802601	0.895343879	0.862909513	0.800053425	0.645542028	0.795363065
CCDC154	0.90180589	0.895357602	0.86291544	0.800110947	0.645714039	0.795422656
MFAP3	0.901809179	0.895371317	0.862921366	0.800168469	0.64588605	0.795482248
BAG2	0.901812467	0.895394161	0.862927291	0.800225991	0.646172736	0.795541839
PRCP	0.901815755	0.895398727	0.862933215	0.800283513	0.646230073	0.79560143
PDPN	0.901819042	0.895421548	0.862939138	0.800341035	0.646516759	0.795661022
MUL1	0.901822329	0.89542611	0.862945061	0.800398557	0.646574096	0.795720613
MBOAT4	0.901825616	0.895435232	0.862950982	0.80045608	0.64668877	0.795780205
ACADM	0.901828902	0.895448908	0.862956903	0.800513602	0.646860781	0.795839796
PLA2G3	0.901832188	0.895453465	0.862962823	0.800571124	0.646918118	0.795899388
SCLY	0.901835473	0.895462578	0.862968743	0.800628646	0.647032792	0.795958979
CHRNA6	0.901838758	0.895467133	0.862974661	0.800686168	0.64709013	0.79601857
SLC22A2	0.901842042	0.895512641	0.862980579	0.80074369	0.647663501	0.796078162
OFCC1	0.901845326	0.895544452	0.862986496	0.800801212	0.64806486	0.796137753
MTHFD2L	0.901848609	0.895553534	0.862992412	0.800858734	0.648179535	0.796197345
NCR3LG1	0.901851892	0.895576226	0.862998327	0.800916256	0.64846622	0.796256936
SLC49A4	0.901855175	0.895585297	0.863004241	0.800973778	0.648580894	0.796316528
OXSM	0.901858457	0.895589832	0.863010155	0.8010313	0.648638231	0.796376119
DCDC2	0.901861739	0.895603431	0.863016068	0.801088822	0.648810243	0.79643571
DCSTAMP	0.90186502	0.895607962	0.86302198	0.801146344	0.64886758	0.796495302
LRRC9	0.901868301	0.895621553	0.863027891	0.801203866	0.649039591	0.796554893
C16orf97	0.901871581	0.895635136	0.863033802	0.801261388	0.649211602	0.796614485
OR8D4	0.901874861	0.895644188	0.863039711	0.80131891	0.649326277	0.796674076
NDUFS4	0.90187814	0.895648712	0.86304562	0.801376432	0.649383614	0.796733667
TFAP2E	0.901881419	0.895680365	0.863051528	0.801433954	0.649784973	0.796793259
EFCAB6	0.901884697	0.895693918	0.863057435	0.801491476	0.649956985	0.79685285
SIAE	0.901887976	0.895702951	0.863063342	0.801548998	0.650071659	0.796912442
CLIC4	0.901891253	0.89571198	0.863069247	0.80160652	0.650186333	0.796972033
MLNR	0.90189453	0.895721006	0.863075152	0.801664042	0.650301007	0.797031625
EIF4EBP2	0.901897807	0.895725518	0.863081056	0.801721564	0.650358344	0.797091216
HPSE	0.901901083	0.895730029	0.863086959	0.801779086	0.650415682	0.797150807
FAM153A	0.901904359	0.895748067	0.863092862	0.801836608	0.65064503	0.797210399
GYPA	0.901907635	0.8957751	0.863098763	0.80189413	0.650989053	0.79726999
SLX1A	0.901910909	0.895779603	0.863104664	0.801951652	0.65104639	0.797329582
CHTF18	0.901914184	0.895793108	0.863110564	0.802009174	0.651218401	0.797389173
ZNHIT6	0.901917458	0.895797608	0.863116463	0.802066696	0.651275738	0.797448764
RHOB	0.901920732	0.259281753	0.347607088	0.802124218	0.012597373	0.035737791
ANKK1	0.901924005	0.895824592	0.863122362	0.80218174	0.651619761	0.797508356
ADAM28	0.901927277	0.895833581	0.863128259	0.802239262	0.651734435	0.797567947
SYNM	0.90193055	0.895851549	0.863134156	0.802296784	0.651963783	0.797627539
PIGX	0.901933821	0.89585604	0.863140052	0.802354306	0.65202112	0.79768713
OCEL1	0.901937093	0.895860529	0.863145948	0.802411829	0.652078458	0.797746722
ADM	0.901940364	0.895865018	0.863151842	0.802469351	0.652135795	0.797806313
ELL3	0.901943634	0.895896419	0.863157736	0.802526873	0.652537154	0.797865904
PPAN	0.901946904	0.895900902	0.863163628	0.802584395	0.652594491	0.797925496
PPAN-P2RY11	0.901950174	0.895905384	0.86316952	0.802641917	0.652651829	0.797985087
CA13	0.901953443	0.895909865	0.863175412	0.802699439	0.652709166	0.798044679
SLC24A5	0.901956712	0.895923305	0.863181302	0.802756961	0.652881177	0.79810427
LY6G6F-LY6G6D	0.90195998	0.895936738	0.863187192	0.802814483	0.653053188	0.798163862
LTF	0.901963248	0.895950164	0.86319308	0.802872005	0.6532252	0.798223453
SLC22A18	0.901966515	0.895954638	0.863198968	0.802929527	0.653282537	0.798283044
TSPAN2	0.901969782	0.895976997	0.863204856	0.802987049	0.653569222	0.798342636
CRTAM	0.901973049	0.895981466	0.863210742	0.803044571	0.653626559	0.798402227
GTF2IRD2	0.901976315	0.895990403	0.863216628	0.803102093	0.653741234	0.798461819
CBLN2	0.90197958	0.89599487	0.863222512	0.803159615	0.653798571	0.79852141
PCDHB17P	0.901982845	0.896012732	0.863228396	0.803217137	0.654027919	0.798581001
IDUA	0.90198611	0.89604842	0.86323428	0.803274659	0.654486616	0.798640593
DUSP14	0.901989374	0.896075155	0.863240162	0.803332181	0.654830638	0.798700184
FRA10AC1	0.901992638	0.896079609	0.863246044	0.803389703	0.654887976	0.798759776
CCDC51	0.901995901	0.896084061	0.863251925	0.803447225	0.654945313	0.798819367
GCFC2	0.901999164	0.896088513	0.863257805	0.803504747	0.65500265	0.798878959
PLA2G4F	0.902002427	0.896092964	0.863263684	0.803562269	0.655059987	0.79893855
QTRT2	0.902005689	0.896101864	0.863269562	0.803619791	0.655174661	0.798998141
BLK	0.90200895	0.896106313	0.86327544	0.803677313	0.655231998	0.799057733
PLIN3	0.902012212	0.896141878	0.863281317	0.803734835	0.655690695	0.799117324
MPI	0.902015472	0.89614632	0.863287193	0.803792357	0.655748032	0.799176916
POGLUT3	0.902018733	0.896164082	0.863293068	0.803849879	0.655977381	0.799236507
ZNF764	0.902021992	0.896172958	0.863298942	0.803907401	0.656092055	0.799296099
LINGO4	0.902025252	0.896177395	0.863304816	0.803964923	0.656149392	0.79935569
GRM6	0.902028511	0.896181832	0.863310689	0.804022445	0.656206729	0.799415281
TNFRSF10D	0.902031769	0.896186267	0.863316561	0.804079967	0.656264066	0.799474873
NEK5	0.902035027	0.896204003	0.863322432	0.804137489	0.656493414	0.799534464
FAM153B	0.902038285	0.896208435	0.863328303	0.804195011	0.656550752	0.799594056
CPT2	0.902041542	0.896230584	0.863334172	0.804252533	0.656837437	0.799653647
TKTL2	0.902044799	0.896261562	0.863340041	0.804310055	0.657238797	0.799713238
OR10T2	0.902048055	0.896265985	0.863345909	0.804367578	0.657296134	0.79977283
WNT16	0.902051311	0.896279248	0.863351777	0.8044251	0.657468145	0.799832421
GDE1	0.902054566	0.896283668	0.863357643	0.804482622	0.657525482	0.799892013
PHTF1	0.902057821	0.896288087	0.863363509	0.804540144	0.657582819	0.799951604
ADH6	0.902061076	0.896292505	0.863369374	0.804597666	0.657640157	0.800011196
DMGDH	0.90206433	0.896296922	0.863375238	0.804655188	0.657697494	0.800070787
FAM53A	0.902067583	0.896301339	0.863381101	0.80471271	0.657754831	0.800130378
SLC39A3	0.902070837	0.89631017	0.863386964	0.804770232	0.657869505	0.80018997
CROT	0.902074089	0.896314585	0.863392826	0.804827754	0.657926842	0.800249561
LMNTD1	0.902077342	0.896318999	0.863398687	0.804885276	0.657984179	0.800309153
RBM11	0.902080593	0.896323412	0.863404547	0.804942798	0.658041516	0.800368744
EGFL8	0.902083845	0.896336647	0.863410406	0.80500032	0.658213528	0.800428335
LINGO3	0.902087096	0.896341057	0.863416265	0.805057842	0.658270865	0.800487927
GLT6D1	0.902090346	0.896345467	0.863422122	0.805115364	0.658328202	0.800547518
ADAL	0.902093596	0.896349875	0.863427979	0.805172886	0.658385539	0.80060711
CCNO	0.902096846	0.896358691	0.863433836	0.805230408	0.658500213	0.800666701
CHADL	0.902100095	0.896363097	0.863439691	0.80528793	0.65855755	0.800726293
DCT	0.902103344	0.896371908	0.863445546	0.805345452	0.658672224	0.800785884
FCAMR	0.902106592	0.896389521	0.863451399	0.805402974	0.658901573	0.800845475
DSPP	0.90210984	0.896393923	0.863457252	0.805460496	0.65895891	0.800905067
TAS1R1	0.902113088	0.896398324	0.863463105	0.805518018	0.659016247	0.800964658
MYO19	0.902116335	0.896420317	0.863468956	0.80557554	0.659302933	0.80102425
PAQR7	0.902119581	0.896424713	0.863474807	0.805633062	0.65936027	0.801083841
SLC26A4	0.902122827	0.896433504	0.863480657	0.805690584	0.659474944	0.801143433
ALG2	0.902126073	0.896437898	0.863486506	0.805748106	0.659532281	0.801203024
MED22	0.902129318	0.896442292	0.863492354	0.805805628	0.659589618	0.801262615
FMO4	0.902132563	0.896446685	0.863498201	0.80586315	0.659646955	0.801322207
GPATCH11	0.902135808	0.896455468	0.863504048	0.805920672	0.659761629	0.801381798
NPHS2	0.902139052	0.677204283	0.782636076	0.805978194	0.097726291	0.373156252
CYP1B1	0.902142295	0.896477415	0.863509894	0.806035716	0.660048315	0.80144139
CCDC126	0.902145538	0.896481802	0.863515739	0.806093238	0.660105652	0.801500981
ADAM2	0.902148781	0.896490574	0.863521583	0.80615076	0.660220326	0.801560572
MDH1B	0.902152023	0.896516873	0.863527427	0.806208282	0.660564349	0.801620164
